### GEOM & LOADS - GEN-EE

# Format: node_ID, node_y, node_z, node_Fy, node_Fz
# Units: None, mm, mm, N, N

# Extrados

101,500,695.9,0.2,327
102,1500,693.3,31,470
103,2500,605.6,128,717
104,3500,416.9,188,973
105,4500,289.2,90,1171
106,5500,280.9,13,1408
107,6500,345.3,-98,1394
108,7500,428.8,-93,1317
109,8500,511.9,-85,1225
110,9500,594.5,-78,1124
111,10500,676.6,-72,1037
112,11500,758.1,-67,961
113,12500,838.8,-62,891
114,13500,918.7,-57,820
115,14500,997.6,-52,740
116,15500,1103.2,-96,595
117,16500,1250,-107,289

# Intrados

201,500,-884.4,9,-596
202,1500,-831.1,64,-612
203,2500,-689.4,137,-630
204,3500,-390,191,-570
205,4500,-91.1,83,-361
206,5500,46.2,12,-138
207,6500,121.3,2.4,-36
208,7500,209.2,-2.2,14
209,8500,297.1,-3.3,25
210,9500,385.1,-3,23
211,10500,473.2,-2.7,20
212,11500,561.4,-2.2,16
213,12500,649.7,-1.8,13
214,13500,738.2,-1.1,5
215,14500,826.9,0.2,-8
216,15500,950,-3.6,-3
217,16500,1200,-8.1,8



